PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

PIC16F15223                  Midrange/1.8V Min MSB1st
PIC16F15224                  Midrange/1.8V Min MSB1st
PIC16F15225                  Midrange/1.8V Min MSB1st
PIC16F15243                  Midrange/1.8V Min MSB1st
PIC16F15244                  Midrange/1.8V Min MSB1st
PIC16F15245                  Midrange/1.8V Min MSB1st
PIC16F15254                  Midrange/1.8V Min MSB1st
PIC16F15255                  Midrange/1.8V Min MSB1st
PIC16F15256                  Midrange/1.8V Min MSB1st
PIC16F15274                  Midrange/1.8V Min MSB1st
PIC16F15275                  Midrange/1.8V Min MSB1st
PIC16F15276                  Midrange/1.8V Min MSB1st
PIC16F15313                  Midrange/1.8V Min MSB1st
PIC16F15323                  Midrange/1.8V Min MSB1st
PIC16F15324                  Midrange/1.8V Min MSB1st
PIC16F15325                  Midrange/1.8V Min MSB1st
PIC16F15344                  Midrange/1.8V Min MSB1st
PIC16F15345                  Midrange/1.8V Min MSB1st
PIC16F15354                  Midrange/1.8V Min MSB1st
PIC16F15355                  Midrange/1.8V Min MSB1st
PIC16F15356                  Midrange/1.8V Min MSB1st
PIC16F15375                  Midrange/1.8V Min MSB1st
PIC16F15376                  Midrange/1.8V Min MSB1st
PIC16F15385                  Midrange/1.8V Min MSB1st
PIC16F15386                  Midrange/1.8V Min MSB1st
PIC16F17114                  Midrange/1.8V Min MSB1st
PIC16F17115                  Midrange/1.8V Min MSB1st
PIC16F17124                  Midrange/1.8V Min MSB1st
PIC16F17125                  Midrange/1.8V Min MSB1st
PIC16F17126                  Midrange/1.8V Min MSB1st
PIC16F17144                  Midrange/1.8V Min MSB1st
PIC16F17145                  Midrange/1.8V Min MSB1st
PIC16F17146                  Midrange/1.8V Min MSB1st
PIC16F17154                  Midrange/1.8V Min MSB1st
PIC16F17155                  Midrange/1.8V Min MSB1st
PIC16F17156                  Midrange/1.8V Min MSB1st
PIC16F17174                  Midrange/1.8V Min MSB1st
PIC16F17175                  Midrange/1.8V Min MSB1st
PIC16F17176                  Midrange/1.8V Min MSB1st
PIC16F18013                  Midrange/1.8V Min MSB1st
PIC16F18014                  Midrange/1.8V Min MSB1st
PIC16F18015                  Midrange/1.8V Min MSB1st
PIC16F18023                  Midrange/1.8V Min MSB1st
PIC16F18024                  Midrange/1.8V Min MSB1st
PIC16F18025                  Midrange/1.8V Min MSB1st
PIC16F18026                  Midrange/1.8V Min MSB1st
PIC16F18044                  Midrange/1.8V Min MSB1st
PIC16F18045                  Midrange/1.8V Min MSB1st
PIC16F18046                  Midrange/1.8V Min MSB1st
PIC16F18054                  Midrange/1.8V Min MSB1st
PIC16F18055                  Midrange/1.8V Min MSB1st
PIC16F18056                  Midrange/1.8V Min MSB1st
PIC16F18074                  Midrange/1.8V Min MSB1st
PIC16F18075                  Midrange/1.8V Min MSB1st
PIC16F18076                  Midrange/1.8V Min MSB1st
PIC16F18114                  Midrange/1.8V Min MSB1st
PIC16F18115                  Midrange/1.8V Min MSB1st
PIC16F18124                  Midrange/1.8V Min MSB1st
PIC16F18125                  Midrange/1.8V Min MSB1st
PIC16F18126                  Midrange/1.8V Min MSB1st
PIC16F18144                  Midrange/1.8V Min MSB1st
PIC16F18145                  Midrange/1.8V Min MSB1st
PIC16F18146                  Midrange/1.8V Min MSB1st
PIC16F18154                  Midrange/1.8V Min MSB1st
PIC16F18155                  Midrange/1.8V Min MSB1st
PIC16F18156                  Midrange/1.8V Min MSB1st
PIC16F18174                  Midrange/1.8V Min MSB1st
PIC16F18175                  Midrange/1.8V Min MSB1st
PIC16F18176                  Midrange/1.8V Min MSB1st
PIC16F18424                  Midrange/1.8V Min MSB1st
PIC16F18425                  Midrange/1.8V Min MSB1st
PIC16F18426                  Midrange/1.8V Min MSB1st
PIC16F18444                  Midrange/1.8V Min MSB1st
PIC16F18445                  Midrange/1.8V Min MSB1st
PIC16F18446                  Midrange/1.8V Min MSB1st
PIC16F18455                  Midrange/1.8V Min MSB1st
PIC16F18456                  Midrange/1.8V Min MSB1st
PIC16F18854                  Midrange/1.8V Min MSB1st
PIC16F18855                  Midrange/1.8V Min MSB1st
PIC16F18856                  Midrange/1.8V Min MSB1st
PIC16F18857                  Midrange/1.8V Min MSB1st
PIC16F18875                  Midrange/1.8V Min MSB1st
PIC16F18876                  Midrange/1.8V Min MSB1st
PIC16F18877                  Midrange/1.8V Min MSB1st
PIC16F19155                  Midrange/1.8V Min MSB1st
PIC16F19156                  Midrange/1.8V Min MSB1st
PIC16F19175                  Midrange/1.8V Min MSB1st
PIC16F19176                  Midrange/1.8V Min MSB1st
PIC16F19185                  Midrange/1.8V Min MSB1st
PIC16F19186                  Midrange/1.8V Min MSB1st
PIC16F19195                  Midrange/1.8V Min MSB1st
PIC16F19196                  Midrange/1.8V Min MSB1st
PIC16F19197                  Midrange/1.8V Min MSB1st
PIC16LF15313                 Midrange/1.8V Min MSB1st
PIC16LF15323                 Midrange/1.8V Min MSB1st
PIC16LF15324                 Midrange/1.8V Min MSB1st
PIC16LF15325                 Midrange/1.8V Min MSB1st
PIC16LF15344                 Midrange/1.8V Min MSB1st
PIC16LF15345                 Midrange/1.8V Min MSB1st
PIC16LF15354                 Midrange/1.8V Min MSB1st
PIC16LF15355                 Midrange/1.8V Min MSB1st
PIC16LF15356                 Midrange/1.8V Min MSB1st
PIC16LF15375                 Midrange/1.8V Min MSB1st
PIC16LF15376                 Midrange/1.8V Min MSB1st
PIC16LF15385                 Midrange/1.8V Min MSB1st
PIC16LF15386                 Midrange/1.8V Min MSB1st
PIC16LF18424                 Midrange/1.8V Min MSB1st
PIC16LF18425                 Midrange/1.8V Min MSB1st
PIC16LF18426                 Midrange/1.8V Min MSB1st
PIC16LF18444                 Midrange/1.8V Min MSB1st
PIC16LF18445                 Midrange/1.8V Min MSB1st
PIC16LF18446                 Midrange/1.8V Min MSB1st
PIC16LF18455                 Midrange/1.8V Min MSB1st
PIC16LF18456                 Midrange/1.8V Min MSB1st
PIC16LF18854                 Midrange/1.8V Min MSB1st
PIC16LF18855                 Midrange/1.8V Min MSB1st
PIC16LF18856                 Midrange/1.8V Min MSB1st
PIC16LF18857                 Midrange/1.8V Min MSB1st
PIC16LF18875                 Midrange/1.8V Min MSB1st
PIC16LF18876                 Midrange/1.8V Min MSB1st
PIC16LF18877                 Midrange/1.8V Min MSB1st
PIC16LF19155                 Midrange/1.8V Min MSB1st
PIC16LF19156                 Midrange/1.8V Min MSB1st
